doc_label,doc_content
doyle-0-0,preface
doyle-0-1,reprinting story new edition reminded chapters far madding crowd appeared month month popular magazine first ventured adopt word wessex pages early english history give fictitious significance existing name district included extinct kingdom
doyle-0-1,series novels projected mainly kind called local seemed require territorial definition sort lend unity scene
doyle-0-1,finding area single county afford canvas large enough purpose objections invented name disinterred old one
doyle-0-1,press public kind enough welcome fanciful plan willingly joined anachronism imagining wessex population living queen victoria modern wessex railways penny post mowing reaping machines union workhouses lucifer matches labourers could read write national school children
doyle-0-1,believe correct stating existence contemporaneous wessex announced present story never heard expression wessex peasant wessex custom would theretofore taken refer nothing later date norman conquest
doyle-0-2,anticipate application word modern use would extend outside chapters chronicles
doyle-0-2,name soon taken elsewhere local designation
doyle-0-2,first defunct examiner impression bearing date july entitled one articles wessex labourer article turning dissertation farming heptarchy modern peasant south west counties presentation stories
doyle-0-3,since appellation thought reserve horizons landscapes merely realistic dream country become popular practical definition dream country degrees solidified utilitarian region people go take house write papers
doyle-0-3,ask good gentle readers kind forget refuse steadfastly believe inhabitants victorian wessex outside pages companion volumes first discovered
doyle-0-4,moreover village called weatherbury wherein scenes present story series part laid would perhaps hardly discernible explorer without help existing place nowadays though comparatively recent tale written sufficient reality meet descriptions backgrounds personages might traced easily enough
doyle-0-4,church remains great good fortune unrestored intact old houses ancient malt house formerly characteristic parish pulled twenty years also thatched dormered cottages lifeholds
doyle-0-4,game prisoner base long ago seemed enjoy perennial vitality front worn stocks may far say entirely unknown rising generation schoolboys
doyle-0-4,practice divination bible key regarding valentines things serious import shearing supper harvest home nearly disappeared wake old houses gone much love fuddling village one notoriously prone
doyle-0-4,change root recent supplanting class stationary cottagers carried local traditions humours population less migratory labourers led break continuity local history fatal thing preservation legend folk lore close inter social relations eccentric individualities
doyle-0-4,indispensable conditions existence attachment soil one particular spot generation generation
doyle-0-5,th
doyle-0-6,february
doyle-1-1,description farmer oak incident
doyle-1-2,farmer oak smiled corners mouth spread till within unimportant distance ears eyes reduced chinks diverging wrinkles appeared round extending upon countenance like rays rudimentary sketch rising sun
doyle-1-3,christian name gabriel working days young man sound judgment easy motions proper dress general good character
doyle-1-3,sundays man misty views rather given postponing hampered best clothes umbrella upon whole one felt occupy morally vast middle space laodicean neutrality lay communion people parish drunken section went church yawned privately congregation reached nicene creed thought would dinner meant listening sermon
doyle-1-3,state character stood scale public opinion friends critics tantrums considered rather bad man pleased rather good man neither man whose moral colour kind pepper salt mixture
doyle-1-4,since lived six times many working days sundays oak appearance old clothes peculiarly mental picture formed neighbours imagining always dressed way
doyle-1-4,wore low crowned felt hat spread base tight jamming upon head security high winds coat like dr johnson lower extremities encased ordinary leather leggings boots emphatically large affording foot roomy apartment constructed wearer might stand river day long know nothing damp maker conscientious man endeavoured compensate weakness cut unstinted dimension solidity
doyle-1-5,mr oak carried way watch may called small silver clock words watch shape intention small clock size
doyle-1-5,instrument several years older oak grandfather peculiarity going either fast
doyle-1-5,smaller hands occasionally slipped round pivot thus though minutes told precision nobody could quite certain hour belonged
doyle-1-5,stopping peculiarity watch oak remedied thumps shakes escaped evil consequences two defects constant comparisons observations sun stars pressing face close glass neighbours windows till could discern hour marked green faced timekeepers within
doyle-1-5,may mentioned oak fob difficult access reason somewhat high situation waistband trousers also lay remote height waistcoat watch necessity pulled throwing body one side compressing mouth face mere mass ruddy flesh account exertion required drawing watch chain like bucket well
doyle-1-6,thoughtful persons seen walking across one fields certain december morning sunny exceedingly mild might regarded gabriel oak aspects
doyle-1-6,face one might notice many hues curves youth tarried manhood even remained remoter crannies relics boy
doyle-1-6,height breadth would sufficient make presence imposing exhibited due consideration
doyle-1-6,way men rural urban alike mind responsible flesh sinew way curtailing dimensions manner showing
doyle-1-6,quiet modesty would become vestal seemed continually impress upon great claim world room oak walked unassumingly faintly perceptible bend yet distinct bowing shoulders
doyle-1-6,may defect individual depends valuation upon appearance upon capacity wear well oak
doyle-1-7,reached life young ceasing prefix man speaking one
doyle-1-7,brightest period masculine growth intellect emotions clearly separated passed influence youth indiscriminately mingles character impulse yet arrived stage wherein become united character prejudice influence wife family
doyle-1-7,short twenty eight bachelor
doyle-1-8,field morning sloped ridge called norcombe hill
doyle-1-8,spur hill ran highway emminster chalk newton
doyle-1-8,casually glancing hedge oak saw coming incline ornamental spring waggon painted yellow gaily marked drawn two horses waggoner walking alongside bearing whip perpendicularly
doyle-1-8,waggon laden household goods window plants apex whole sat woman young attractive
doyle-1-8,gabriel beheld sight half minute vehicle brought standstill beneath eyes
doyle-1-9,tailboard waggon gone miss waggoner
doyle-1-10,heard fall girl soft though particularly low voice
doyle-1-10,heard noise could account coming hill
doyle-1-11,'ll run back
doyle-1-12,answered
doyle-1-13,sensible horses stood perfectly still waggoner steps sank fainter fainter distance
doyle-1-14,girl summit load sat motionless surrounded tables chairs legs upwards backed oak settle ornamented front pots geraniums myrtles cactuses together caged canary probably windows house vacated
doyle-1-14,also cat willow basket partly opened lid gazed half closed eyes affectionately surveyed small birds around
doyle-1-15,handsome girl waited idly place sound heard stillness hopping canary perches prison
doyle-1-15,looked attentively downwards
doyle-1-15,bird cat oblong package tied paper lying
doyle-1-15,turned head learn waggoner coming
doyle-1-15,yet sight eyes crept back package thoughts seeming run upon inside
doyle-1-15,length drew article lap untied paper covering small swing looking glass disclosed proceeded survey attentively
doyle-1-15,parted lips smiled
doyle-1-16,fine morning sun lighted scarlet glow crimson jacket wore painted soft lustre upon bright face dark hair
doyle-1-16,myrtles geraniums cactuses packed around fresh green leafless season invested whole concern horses waggon furniture girl peculiar vernal charm
doyle-1-16,possessed indulge performance sight sparrows blackbirds unperceived farmer alone spectators whether smile began factitious one test capacity art nobody knows ended certainly real smile
doyle-1-16,blushed seeing reflection blush blushed
doyle-1-17,change customary spot necessary occasion act dressing hour bedroom travelling doors lent idle deed novelty intrinsically possess
doyle-1-17,picture delicate one
doyle-1-17,woman prescriptive infirmity stalked sunlight clothed freshness originality
doyle-1-17,cynical inference irresistible gabriel oak regarded scene generous though fain would
doyle-1-17,necessity whatever looking glass
doyle-1-17,adjust hat pat hair press dimple shape one thing signify intention motive taking glass
doyle-1-17,simply observed fair product nature feminine kind thoughts seeming glide far though likely dramas men would play part vistas probable triumphs smiles phase suggesting hearts imagined lost
doyle-1-17,still conjecture whole series actions idly put forth make rash assert intention part
doyle-1-18,waggoner steps heard returning
doyle-1-18,put glass paper whole place
doyle-1-19,waggon passed gabriel withdrew point espial descending road followed vehicle turnpike gate way beyond bottom hill object contemplation halted payment toll
doyle-1-19,twenty steps still remained gate heard dispute
doyle-1-19,difference concerning twopence persons waggon man toll bar
doyle-1-20,mis'ess niece upon top things says enough 've offered ye great miser wo n't pay
doyle-1-20,waggoner words
doyle-1-21,well mis'ess niece ca n't pass turnpike keeper closing gate
doyle-1-22,oak looked one disputants fell reverie
doyle-1-22,something tone twopence remarkably insignificant
doyle-1-22,threepence definite value money appreciable infringement day wages higgling matter twopence stepping forward handing twopence gatekeeper let young woman pass
doyle-1-22,looked heard words looked
doyle-1-23,gabriel features adhered throughout form exactly middle line beauty st john ugliness judas iscariot represented window church attended single lineament could selected called worthy either distinction notoriety
doyle-1-23,red jacketed dark haired maiden seemed think carelessly glanced told man drive
doyle-1-23,might looked thanks gabriel minute scale speak probably felt none gaining passage lost point know women take favour kind
doyle-1-24,gatekeeper surveyed retreating vehicle
doyle-1-24,handsome maid oak
doyle-1-25,faults gabriel
doyle-1-26,true farmer
doyle-1-27,greatest well always
doyle-1-28,beating people
doyle-1-28,ay 't
doyle-1-31,gabriel perhaps little piqued comely traveller indifference glanced back witnessed performance hedge vanity
doyle-2-0,ii
doyle-2-1,night flock interior another interior
doyle-2-2,nearly midnight eve st thomas shortest day year
doyle-2-2,desolating wind wandered north hill whereon oak watched yellow waggon occupant sunshine days earlier
doyle-2-3,norcombe hill far lonely toller one spots suggest passer presence shape approaching indestructible nearly found earth
doyle-2-3,featureless convexity chalk soil ordinary specimen smoothly outlined protuberances globe may remain undisturbed great day confusion far grander heights dizzy granite precipices topple
doyle-2-4,hill covered northern side ancient decaying plantation beeches whose upper verge formed line crest fringing arched curve sky like mane
doyle-2-4,night trees sheltered southern slope keenest blasts smote wood floundered sound grumbling gushed crowning boughs weakened moan
doyle-2-4,dry leaves ditch simmered boiled breezes tongue air occasionally ferreting sending spinning across grass
doyle-2-4,group two latest date amongst dead multitude remained till mid winter twigs bore falling rattled trunks smart taps
doyle-2-5,half wooded half naked hill vague still horizon summit indistinctly commanded mysterious sheet fathomless shade sounds suggested concealed bore reduced resemblance features
doyle-2-5,thin grasses less coating hill touched wind breezes differing powers almost differing natures one rubbing blades heavily another raking piercingly another brushing like soft broom
doyle-2-5,instinctive act humankind stand listen learn trees right trees left wailed chaunted regular antiphonies cathedral choir hedges shapes leeward caught note lowering tenderest sob hurrying gust plunged south heard
doyle-2-6,sky clear remarkably clear twinkling stars seemed throbs one body timed common pulse
doyle-2-6,north star directly wind eye since evening bear swung round outwardly east till right angle meridian
doyle-2-6,difference colour stars oftener read seen england really perceptible
doyle-2-6,sovereign brilliancy sirius pierced eye steely glitter star called capella yellow aldebaran betelgueux shone fiery red
doyle-2-7,persons standing alone hill clear midnight roll world eastward almost palpable movement
doyle-2-7,sensation may caused panoramic glide stars past earthly objects perceptible minutes stillness better outlook upon space hill affords wind solitude whatever origin impression riding along vivid abiding
doyle-2-7,poetry motion phrase much use enjoy epic form gratification necessary stand hill small hour night first expanded sense difference mass civilised mankind dreamwrapt disregardful proceedings long quietly watch stately progress stars
doyle-2-7,nocturnal reconnoitre hard get back earth believe consciousness majestic speeding derived tiny human frame
doyle-2-8,suddenly unexpected series sounds began heard place sky
doyle-2-8,clearness found nowhere wind sequence found nowhere nature
doyle-2-8,notes farmer oak flute
doyle-2-9,tune floating unhindered open air seemed muffled way altogether curtailed power spread high wide
doyle-2-9,came direction small dark object plantation hedge shepherd hut presenting outline uninitiated person might puzzled attach either meaning use
doyle-2-10,image whole small noah ark small ararat allowing traditionary outlines general form ark followed toy makers means established men imaginations among firmest earliest impressions pass approximate pattern
doyle-2-10,hut stood little wheels raised floor foot ground
doyle-2-10,shepherds huts dragged fields lambing season comes shelter shepherd enforced nightly attendance
doyle-2-11,latterly people begun call gabriel farmer oak
doyle-2-11,twelvemonth preceding enabled sustained efforts industry chronic good spirits lease small sheep farm norcombe hill portion stock two hundred sheep
doyle-2-11,previously bailiff short earlier still shepherd childhood assisted father tending flocks large proprietors till old gabriel sank rest
doyle-2-12,venture unaided alone paths farming master man advance sheep yet paid critical juncture gabriel oak recognised position clearly
doyle-2-12,first movement new progress lambing ewes sheep speciality youth wisely refrained deputing task tending season hireling novice
doyle-2-13,wind continued beat corners hut flute playing ceased
doyle-2-13,rectangular space light appeared side hut opening outline farmer oak figure
doyle-2-13,carried lantern hand closing door behind came forward busied nook field nearly twenty minutes lantern light appearing disappearing brightening darkening stood behind
doyle-2-14,oak motions though quiet energy slow deliberateness accorded well occupation
doyle-2-14,fitness basis beauty nobody could denied steady swings turns flock elements grace
doyle-2-14,yet although occasion demanded could think thing mercurial dash men towns manner born special power morally physically mentally static owing little nothing momentum rule
doyle-2-15,close examination ground hereabout even wan starlight revealed portion would casually called wild slope appropriated farmer oak great purpose winter
