doc_label,doc_content
doyle-0-1,supplied late school
doyle-0-2,pale coat heart body brain see
doyle-0-2,ever old queer handkerchief embellished gay known nations world
doyle-0-2,loved dust old somehow mildly reminded
doyle-0-3,take hand school others teach name whale fish called tongue leaving ignorance letter h almost alone maketh word deliver true hackluyt
doyle-0-4,whale
doyle-0-4,dan
doyle-0-4,animal named rolling dan
doyle-0-4,arched vaulted webster dictionary
doyle-0-5,whale
doyle-0-5,immediately
doyle-0-5,roll dictionary
doyle-0-6,hebrew
doyle-0-6,greek
doyle-0-6,cetus latin
doyle-0-6,danish
doyle-0-6,dutch
doyle-0-6,whale
doyle-0-6,whale english
doyle-0-6,spanish
doyle-0-6,nuee nuee
doyle-0-6,nuee nuee
doyle-0-7,extracts
doyle-0-7,supplied sub sub
doyle-0-8,seen mere grub worm poor devil sub sub appears gone long street earth picking whatever random allusions whales could find book whatsoever sacred profane
doyle-0-8,therefore must every case least take whale however authentic extracts veritable cetology
doyle-0-8,far
doyle-0-8,touching ancient generally well appearing extracts solely valuable glancing bird eye view thought fancied leviathan many nations generations including
doyle-0-9,fare thee well poor devil sub sub whose
doyle-0-9,thou hopeless tribe wine world ever warm even pale would rosy strong one sometimes sit feel poor devilish grow convivial upon tears say full eyes empty glasses altogether unpleasant sadness give sub
doyle-0-9,much pains ye take please world much shall ye ever go
doyle-0-9,would could clear court tuileries ye
doyle-0-9,tears aloft royal mast hearts friends gone clearing seven storied heavens making long gabriel coming
doyle-0-9,ye strike splintered hearts together ye shall strike glasses
doyle-0-10,extracts
doyle-0-11,god created great whales genesis
doyle-0-12,leviathan maketh path shine one would think deep hoary job
doyle-0-13,lord prepared great fish swallow jonah jonah
doyle-0-14,go ships leviathan thou hast made play therein
doyle-0-15,day lord great strong sword shall leviathan piercing serpent even leviathan crooked serpent shall slay dragon sea
doyle-0-16,thing besides within chaos monster mouth beast boat stone goes foul great swallow bottomless gulf holland
doyle-0-17,indian sea fishes among whales called take much length four acres land holland pliny
doyle-0-18,scarcely proceeded two days sea sunrise great many whales monsters sea appeared
doyle-0-18,among former one monstrous size
doyle-0-18,came towards us open raising waves sides beating sea foam
doyle-0-18,true history
doyle-0-19,visited country also view catching horse whales bones great value teeth brought king
doyle-0-19,best whales country forty eight fifty yards long
doyle-0-19,one six killed sixty two days narrative taken mouth king ad
doyle-0-20,whereas things whether beast vessel enter dreadful gulf monster whale mouth immediately lost swallowed sea great sleeps
doyle-0-21,let us fly let us fly
doyle-0-21,old take leviathan described noble prophet life patient job
doyle-0-22,whale liver two annals
doyle-0-23,great leviathan maketh seas like boiling pan lord
doyle-0-24,touching monstrous bulk whale received nothing certain
doyle-0-24,grow exceeding fat incredible quantity oil extracted one whale
doyle-0-24,history life death
doyle-0-25,thing earth parmacetti inward king henry
doyle-0-26,like whale
doyle-0-27,secure skill art wound lowly dart breast bred restless like wounded whale shore flies queen
doyle-0-28,immense whales motion whose vast bodies peaceful calm trouble ocean till sir william
doyle-0-29,men might justly doubt since learned work thirty years saith plainly sit sir browne
doyle-0-29,whale
doyle-0-29,v e
doyle-0-30,like modern ruin ponderous tail
doyle-0-30,fixed side wears back grove pikes appears battle summer islands
doyle-0-31,art created great leviathan called state latin artificial man opening leviathan
doyle-0-32,silly swallowed without mouth whale progress
doyle-0-33,sea beast leviathan god works created hugest swim ocean stream paradise lost
doyle-0-34,leviathan hugest living creatures deep stretched like promontory sleeps swims seems moving land gills breath spouts sea
doyle-0-35,mighty whales swim sea water sea oil swimming fuller profane holy state
doyle-0-36,close behind promontory lie huge leviathan attend prey give chance swallow fry gaping jaws mistake way
doyle-0-37,whale floating stern ship cut head tow boat near shore come twelve thirteen feet water thomas edge ten voyages spitzbergen purchas
doyle-0-38,way saw many whales sporting ocean water pipes nature placed shoulders sir voyages asia africa
doyle-0-38,harris
doyle-0-39,saw huge whales forced proceed great deal fear run ship upon circumnavigation
doyle-0-40,set sail wind ne
doyle-0-40,ship called jonas whale
doyle-0-40,say whale open mouth fable
doyle-0-40,frequently climb masts see whether see whale first discoverer pains
doyle-0-40,told whale taken near barrel belly one harpooneers told caught whale spitzbergen white voyage greenland ad
doyle-0-40,harris
doyle-0-41,several whales come upon coast one eighty feet length whale bone kind came informed besides vast quantity oil afford weight baleen
doyle-0-41,jaws stand gate garden
doyle-0-42,agreed try whether master kill whale could never hear sort killed man swiftness letter
doyle-0-42,ad
doyle-0-43,whales sea god voice obey n
doyle-0-43,e
doyle-0-44,saw also abundance large whales southern seas may say hundred one northward us captain voyage round globe ad
doyle-0-45,breath whale frequently attended smell bring brain south america
doyle-0-46,fifty special note trust important charge
doyle-0-46,known seven fold fence fail tho stuffed hoops armed ribs whale lock
doyle-0-47,compare land animals respect magnitude take deep shall find appear contemptible comparison
doyle-0-47,whale doubtless largest animal creation goldsmith
doyle-0-47,hist
doyle-0-48,write fable little fishes would make speak like great whales goldsmith johnson
doyle-0-49,afternoon saw supposed rock found dead whale killed towing ashore
doyle-0-49,seemed endeavor conceal behind whale order avoid seen us cook voyages
doyle-0-50,larger whales seldom venture attack
doyle-0-50,stand great dread sea afraid mention even names carry stone wood articles nature boats order terrify prevent near approach von letters banks voyage iceland
doyle-0-51,whale found active fierce animal requires vast address fishermen thomas whale french
doyle-0-52,pray sir world equal edmund burke reference parliament nantucket whale fishery
doyle-0-53,spain great whale stranded shores europe edmund burke
doyle-0-53,somewhere
doyle-0-54,tenth branch king ordinary revenue grounded consideration seas pirates right royal fish whale sturgeon
doyle-0-54,either thrown ashore caught near coast property king blackstone
doyle-0-55,soon sport death crews unerring er head barbed steel every turn
doyle-0-56,bright shone spires blew self driven hang fire around vault heaven
doyle-0-57,fire water compare ocean high spouted whale air express joy queen visit london
doyle-0-58,ten fifteen gallons blood thrown heart stroke immense velocity john hunter account whale
doyle-0-58,small sized one
doyle-0-59,whale larger bore main pipe water works london water roaring passage pipe inferior velocity blood whale heart
doyle-0-60,whale animal without feet baron cuvier
doyle-0-61,degrees south saw whales take till first may sea covered colnett voyage purpose extending spermaceti whale fishery
doyle-0-62,free element beneath swam dived play chace battle fishes every colour form kind language paint mariner never seen dread leviathan insect millions every wave gather shoals immense like floating islands led mysterious waste region though every side whales sharks monsters arm front jaw horns hooked world flood
doyle-0-63,sing
doyle-0-63,people king
doyle-0-63,whale vast atlantic fish round polar sea triumph whale
doyle-0-64,year persons high hill observing whales spouting sporting one observed pointing sea green pasture children grand children go bread obed macy history nantucket
doyle-0-65,built cottage made form gothic arch setting whale jaw bones twice told tales
doyle-0-66,came monument first love killed whale pacific ocean less forty years ago
doyle-0-67,sir tis right whale answered saw threw pair pretty rainbows christian would wish look
doyle-0-67,oil butt fellow cooper pilot
doyle-0-68,papers brought saw whales introduced stage
doyle-0-69,god
doyle-0-69,mr chace matter answered stove whale narrative whale ship nantucket attacked finally destroyed large sperm whale pacific ocean owen chace nantucket first mate vessel
doyle-0-69,new york
doyle-0-70,mariner sat shrouds one night wind free bright moonlight pale gleamed wake whale sea
doyle-0-71,quantity line withdrawn boats engaged capture one whale altogether yards nearly six english miles
doyle-0-72,sometimes whale shakes tremendous tail air cracking like whip distance three four miles scoresby
doyle-0-73,mad fresh attacks sperm whale rolls enormous head wide expanded jaws everything around boats head vast swiftness sometimes utterly destroyed
doyle-0-73,matter great astonishment consideration habits interesting commercial point view important animal sperm whale entirely excited little curiosity among numerous many competent late years must possessed convenient thomas beale history sperm whale
doyle-0-74,cachalot sperm whale better armed true whale greenland right whale weapon either extremity body also frequently displays disposition employ weapons manner bold lead regarded dangerous attack known species whale tribe frederick whaling voyage round globe
doyle-0-75,blows mast head
doyle-0-75,away demanded captain
doyle-0-75,three points lee bow sir raise wheel
doyle-0-75,steady steady sir mast head ahoy
doyle-0-75,see whale ay ay sir
doyle-0-75,shoal sperm whales
doyle-0-75,blows
doyle-0-75,breaches sing
doyle-0-75,sing every time ay ay sir
doyle-0-75,blows
doyle-0-75,blows far two miles half thunder lightning
doyle-0-75,near
doyle-0-75,call hands j
doyle-0-75,ross browne whaling
doyle-0-76,whale ship globe board vessel occurred horrid belonged island nantucket narrative globe lay hussey
doyle-0-76,ad
doyle-0-77,pursued whale wounded assault time lance furious monster length rushed boat comrades preserved leaping water saw onset missionary
doyle-0-78,nantucket mr webster striking peculiar portion national interest
doyle-0-78,population eight nine thousand persons living sea adding largely every year national industry report daniel webster speech senate application nantucket
doyle-0-79,whale fell directly probably killed moment whale whaleman adventures whale gathered homeward cruise commodore
doyle-0-79,henry
doyle-0-80,make least damn bit noise replied samuel send hell life samuel brother william
doyle-0-80,another whale ship globe narrative
doyle-0-81,voyages dutch english northern ocean order possible discover passage india though failed main object laid open haunts whale commercial dictionary
doyle-0-82,things ball rebounds bound forward laying open haunts whale whalemen seem indirectly hit upon new mystic north west passage something
doyle-0-83,impossible meet whale ship ocean without struck near appearance
doyle-0-83,vessel short sail look outs mast heads eagerly scanning wide around different air engaged regular voyage currents whaling
doyle-0-83,us ex
doyle-0-83,ex
doyle-0-84,vicinity london elsewhere may seen large curved bones set upright earth either form alcoves may perhaps told ribs whales tales whale voyager arctic ocean
doyle-0-85,till boats returned pursuit whales saw ship bloody possession savages enrolled among crew account taking whale ship
doyle-0-86,generally well known crews whaling vessels american ever return ships board departed cruise whale boat
doyle-0-87,suddenly mighty mass emerged water shot perpendicularly air
doyle-0-87,whale coffin whale fisherman
doyle-0-88,whale harpooned sure bethink would unbroken colt mere rope tied root tail whaling ribs trucks
doyle-0-89,one occasion saw two monsters whales probably male female slowly swimming one within less stone throw shore terra tree extended branches voyage naturalist
doyle-0-90,stern exclaimed mate upon turning head saw distended jaws large sperm whale close head boat threatening instant destruction stern lives whale killer
doyle-0-91,lads let hearts never fail bold harpooneer striking whale nantucket song
doyle-0-92,oh rare old whale mid storm gale ocean home giant might might right king boundless sea whale song
doyle-1-1,call ishmael
doyle-1-1,years ago never mind long precisely little money purse nothing particular interest shore thought would sail little see watery part world
doyle-1-1,way driving
doyle-1-1,whenever find growing grim mouth whenever damp november soul whenever find involuntarily pausing coffin warehouses bringing rear every funeral meet especially whenever get upper hand requires strong moral principle prevent deliberately stepping street methodically knocking people hats account high time get sea soon
doyle-1-1,substitute pistol ball
doyle-1-1,flourish throws upon sword quietly take ship
doyle-1-1,nothing surprising
doyle-1-1,knew almost men degree time cherish nearly feelings towards ocean
doyle-1-2,insular city belted round wharves indian isles coral commerce surrounds surf
doyle-1-2,right left streets take waterward
doyle-1-2,extreme battery noble washed waves cooled breezes hours previous sight land
doyle-1-2,look crowds water
doyle-1-3,city dreamy sabbath afternoon
doyle-1-3,go hook slip thence northward
doyle-1-3,see
doyle-1-3,posted like silent around town stand thousands upon thousands mortal men fixed ocean reveries
doyle-1-3,leaning seated upon heads looking bulwarks ships china high aloft rigging striving get still better seaward peep
doyle-1-3,landsmen week days pent plaster tied nailed clinched
doyle-1-3,green fields gone
doyle-1-4,look
doyle-1-4,come crowds pacing straight water seemingly bound dive
doyle-1-4,strange
doyle-1-4,nothing content extremest limit land lee yonder warehouses suffice
doyle-1-4,must get nigh water possibly without falling
doyle-1-4,stand miles leagues
doyle-1-4,come streets avenues north east south west
doyle-1-4,yet unite
doyle-1-4,tell magnetic virtue needles compasses ships thither
doyle-1-5,say country high land lakes
doyle-1-5,take almost path please ten one carries leaves pool stream
doyle-1-5,magic
doyle-1-5,let absent minded men plunged deepest reveries stand man legs set feet going infallibly lead water water region
doyle-1-5,ever athirst great american desert try experiment happen supplied metaphysical professor
doyle-1-5,yes every one knows meditation water wedded ever
doyle-1-6,artist
doyle-1-6,desires paint bit romantic landscape valley
doyle-1-6,chief element
doyle-1-6,stand trees hollow trunk hermit within sleeps meadow sleep cattle yonder cottage goes sleepy smoke
doyle-1-6,deep distant woodlands winds way reaching spurs mountains bathed hill side blue
doyle-1-6,though picture lies thus tranced though pine tree shakes sighs like leaves upon shepherd head yet vain unless shepherd eye fixed upon magic stream
doyle-1-6,go visit prairies june scores scores miles wade knee deep among tiger one charm wanting
doyle-1-6,water drop water
doyle-1-6,niagara sand would travel thousand miles see
doyle-1-6,poor upon suddenly receiving two handfuls silver deliberate whether buy coat sadly needed invest money trip beach
doyle-1-6,almost every robust healthy boy robust healthy soul time crazy go sea
doyle-1-6,upon first voyage passenger feel mystical vibration first told ship sight land
doyle-1-6,old hold sea holy
doyle-1-6,greeks give separate deity brother jove
doyle-1-6,surely without meaning
doyle-1-6,still deeper meaning story could grasp tormenting mild image saw fountain plunged drowned
doyle-1-6,image see oceans
doyle-1-6,image phantom life key
doyle-1-7,say habit going sea whenever begin grow eyes begin conscious lungs mean inferred ever go sea passenger
doyle-1-7,go passenger must needs purse purse rag unless something
doyle-1-7,besides passengers get sea sick grow sleep nights enjoy much general thing never go passenger though something salt ever go sea commodore captain cook
doyle-1-7,abandon glory distinction like
doyle-1-7,part honorable respectable tribulations every kind whatsoever
doyle-1-7,quite much take care without taking care ships brigs
doyle-1-7,going cook though confess considerable glory cook sort officer ship board yet somehow never fancied fowls though broiled salted one speak respectfully say broiled fowl
doyle-1-7,old egyptians upon broiled river horse see mummies creatures huge houses pyramids
doyle-1-8,go sea go simple sailor right mast forecastle aloft royal mast head
doyle-1-8,true rather order make jump spar spar like grasshopper may meadow
doyle-1-8,first sort thing unpleasant enough
doyle-1-8,touches one sense honor particularly come old established family land van
doyle-1-8,previous putting hand tar pot country schoolmaster making boys stand awe
doyle-1-8,transition keen one assure schoolmaster sailor requires strong enable grin bear
doyle-1-8,even wears time
doyle-1-9,old hunks sea captain orders get sweep decks
doyle-1-9,amount weighed mean scales new
doyle-1-9,think archangel gabriel thinks anything less respectfully obey old hunks particular instance
doyle-1-9,slave
doyle-1-9,tell
doyle-1-9,well however old sea captains may order however may thump punch satisfaction knowing right everybody else one way served much way either physical metaphysical point view universal thump passed round hands shoulder blades content
doyle-1-10,always go sea sailor make point paying trouble whereas never pay passengers single penny ever heard
doyle-1-10,contrary passengers must pay
doyle-1-10,difference world paying paid
doyle-1-10,act paying perhaps uncomfortable two entailed upon us
doyle-1-10,paid compare
doyle-1-10,activity man receives money really marvellous considering earnestly believe money root earthly account man enter heaven
doyle-1-10,ah
doyle-1-10,cheerfully perdition
doyle-1-11,finally always go sea sailor wholesome exercise pure air fore castle deck
doyle-1-11,world head winds far winds astern never maxim part commodore quarter deck gets atmosphere second hand sailors forecastle
doyle-1-11,thinks breathes first
doyle-1-11,much way lead leaders many things time leaders little suspect
doyle-1-11,wherefore repeatedly smelt sea merchant sailor take head go whaling voyage invisible officer fates constant secretly dogs influences unaccountable way better answer one else
doyle-1-11,doubtless going whaling voyage formed part grand providence drawn long time ago
doyle-1-11,came sort brief interlude extensive performances
doyle-1-11,take part bill must run something like
doyle-1-12,grand united states whaling voyage one ishmael
doyle-1-12,bloody battle
doyle-1-13,though tell exactly stage fates put part whaling voyage others set parts high short easy parts jolly parts though tell exactly yet recall circumstances think see little springs motives presented various induced set performing part besides delusion choice judgment
doyle-1-14,chief among motives idea great whale
doyle-1-14,portentous mysterious monster roused curiosity
doyle-1-14,wild distant seas rolled island bulk nameless perils whale attending marvels thousand patagonian sights sounds helped sway wish
doyle-1-14,men perhaps things would inducements tormented everlasting things remote
doyle-1-14,love sail seas land barbarous coasts
doyle-1-14,good quick perceive horror could still social would let since well friendly terms inmates place one
doyle-1-15,reason things whaling voyage welcome great flood wonder world swung open wild conceits swayed purpose two two floated inmost soul endless processions whale mid one grand hooded phantom like snow hill air
doyle-2-0,carpet bag
doyle-2-1,stuffed shirt two old carpet bag tucked arm started cape horn pacific
doyle-2-1,quitting good city old duly arrived new bedford
doyle-2-1,saturday night december
doyle-2-1,much disappointed upon learning little packet nantucket already sailed way reaching place would offer till following monday
doyle-2-2,young pains whaling stop new bedford thence embark voyage may well related one idea
doyle-2-2,mind made sail nantucket craft fine boisterous something everything connected famous old island amazingly pleased
doyle-2-2,besides though new bedford late gradually monopolising business whaling though matter poor old nantucket much behind yet nantucket great original place first dead american whale stranded
doyle-2-2,else nantucket aboriginal whalemen red men first canoes give chase leviathan
doyle-2-2,nantucket first adventurous little sloop put forth partly laden goes story throw whales order discover nigh enough risk harpoon bowsprit
doyle-2-3,night day still another night following new bedford ere could embark destined port became matter eat sleep meanwhile
doyle-2-3,dubious looking nay dark dismal night cold cheerless
doyle-2-3,knew one place
doyle-2-3,anxious grapnels sounded pocket brought pieces silver wherever go ishmael stood middle dreary street bag comparing gloom towards north darkness towards south wherever wisdom may conclude lodge night dear ishmael sure inquire particular
doyle-2-4,halting steps paced streets passed sign crossed harpoons looked expensive jolly
doyle-2-4,bright red windows sword fish inn came rays seemed melted packed snow ice house everywhere else congealed frost lay ten inches thick hard rather weary struck foot hard remorseless service boots miserable plight
doyle-2-4,expensive jolly thought pausing one moment watch broad glare street hear sounds glasses within
doyle-2-4,go ishmael last hear
doyle-2-4,get away door patched boots stopping way
doyle-2-4,went
doyle-2-4,instinct followed streets took waterward doubtless inns
doyle-2-5,dreary streets
doyle-2-5,blocks blackness houses either hand candle like candle moving tomb
doyle-2-5,hour night last day week quarter town proved deserted
doyle-2-5,presently came smoky light proceeding low wide building door stood open
doyle-2-5,careless look meant uses public entering first thing stumble ash box porch
doyle-2-5,ha
doyle-2-5,thought ha flying almost choked ashes destroyed city gomorrah
doyle-2-5,crossed harpoons sword fish must needs sign trap however picked hearing loud voice within pushed opened second interior door
doyle-2-6,seemed great black parliament sitting tophet
doyle-2-6,hundred black faces turned round rows beyond black angel doom beating book pulpit
doyle-2-6,negro church preacher text blackness darkness weeping teeth
doyle-2-6,ha ishmael muttered backing wretched sign trap
doyle-2-7,moving last came dim sort light far docks heard forlorn creaking air looking saw swinging sign door white painting upon faintly representing tall straight jet misty spray words underneath spouter inn peter coffin
doyle-2-8,coffin
doyle-2-8,spouter
doyle-2-8,rather ominous particular connexion thought
doyle-2-8,common name nantucket say suppose peter
doyle-2-8,light looked dim place time looked quiet enough dilapidated little wooden house looked might carted ruins burnt district swinging sign stricken sort thought spot best pea coffee
doyle-2-9,queer sort place gable ended old house one side palsied leaning sadly
doyle-2-9,stood sharp bleak corner tempestuous wind euroclydon kept worse howling ever poor paul tossed craft
