doc_label,doc_content
doyle-0-0,chapter
doyle-0-1,nellie cruising yawl swung anchor without flutter sails rest
doyle-0-1,flood made wind nearly calm bound river thing come wait turn tide
doyle-0-2,sea reach thames stretched us like beginning interminable waterway
doyle-0-2,offing sea sky welded together without joint luminous space tanned sails barges drifting tide seemed stand still red clusters canvas sharply peaked gleams varnished sprits
doyle-0-2,haze rested low shores ran sea vanishing flatness
doyle-0-2,air dark gravesend farther back still seemed condensed mournful gloom brooding motionless biggest greatest town earth
doyle-0-3,director companies captain host
doyle-0-3,four affectionately watched back stood bows looking seaward
doyle-0-3,whole river nothing looked half nautical
doyle-0-3,resembled pilot seaman trustworthiness personified
doyle-0-3,difficult realize work luminous estuary behind within brooding gloom
doyle-0-4,us already somewhere bond sea
doyle-0-4,besides holding hearts together long periods separation effect making us tolerant 's yarns even convictions
doyle-0-4,lawyer best old fellows many years many virtues cushion deck lying rug
doyle-0-4,accountant brought already box dominoes toying architecturally bones
doyle-0-4,marlow sat cross legged right aft leaning mizzen mast
doyle-0-4,sunken cheeks yellow complexion straight back ascetic aspect arms dropped palms hands outwards resembled idol
doyle-0-4,director satisfied anchor good hold made way aft sat amongst us
doyle-0-4,exchanged words lazily
doyle-0-4,afterwards silence board yacht
doyle-0-4,reason begin game dominoes
doyle-0-4,felt meditative fit nothing placid staring
doyle-0-4,day ending serenity still exquisite brilliance
doyle-0-4,water shone pacifically sky without speck benign immensity unstained light mist essex marsh like gauzy radiant fabric hung wooded rises inland draping low shores diaphanous folds
doyle-0-4,gloom west brooding upper reaches became sombre every minute angered approach sun
doyle-0-5,last curved imperceptible fall sun sank low glowing white changed dull red without rays without heat go suddenly stricken death touch gloom brooding crowd men
doyle-0-6,forthwith change came waters serenity became less brilliant profound
doyle-0-6,old river broad reach rested unruffled decline day ages good service done race peopled banks spread tranquil dignity waterway leading uttermost ends earth
doyle-0-6,looked venerable stream vivid flush short day comes departs ever august light abiding memories
doyle-0-6,indeed nothing easier man phrase goes followed sea reverence affection evoke great spirit past upon lower reaches thames
doyle-0-6,tidal current runs fro unceasing service crowded memories men ships borne rest home battles sea
doyle-0-6,known served men nation proud sir francis drake sir john franklin knights titled untitled great knights errant sea
doyle-0-6,borne ships whose names like jewels flashing night time golden hind returning rotund flanks full treasure visited queen 's highness thus pass gigantic tale erebus terror bound conquests never returned
doyle-0-6,known ships men
doyle-0-6,sailed deptford greenwich erith adventurers settlers kings ships ships men 'change captains admirals dark interlopers eastern trade commissioned generals east india fleets
doyle-0-6,hunters gold pursuers fame gone stream bearing sword often torch messengers might within land bearers spark sacred fire
doyle-0-6,greatness floated ebb river mystery unknown earth
doyle-0-6,dreams men seed commonwealths germs empires
doyle-0-7,sun set dusk fell stream lights began appear along shore
doyle-0-7,chapman light house three legged thing erect mud flat shone strongly
doyle-0-7,lights ships moved fairway great stir lights going going
doyle-0-7,farther west upper reaches place monstrous town still marked ominously sky brooding gloom sunshine lurid glare stars
doyle-0-8,also marlow suddenly one dark places earth
doyle-0-9,man us still followed sea worst could represent class
doyle-0-9,seaman wanderer seamen lead one may express sedentary life
doyle-0-9,minds stay home order home always ship country sea
doyle-0-9,one ship much like another sea always
doyle-0-9,immutability surroundings foreign shores foreign faces changing immensity life glide past veiled sense mystery slightly disdainful ignorance nothing mysterious seaman unless sea mistress existence inscrutable destiny
doyle-0-9,rest hours work casual stroll casual spree shore suffices unfold secret whole continent generally finds secret worth knowing
doyle-0-9,yarns seamen direct simplicity whole meaning lies within shell cracked nut
doyle-0-9,marlow typical propensity spin yarns excepted meaning episode inside like kernel outside enveloping tale brought glow brings haze likeness one misty halos sometimes made visible spectral illumination moonshine
doyle-0-10,remark seem surprising
doyle-0-10,like marlow
doyle-0-10,accepted silence
doyle-0-10,one took trouble grunt even presently slow thinking old times romans first came nineteen hundred years ago day light came river since say knights
doyle-0-10,yes like running blaze plain like flash lightning clouds
doyle-0-10,live flicker may last long old earth keeps rolling
doyle-0-10,darkness yesterday
doyle-0-10,imagine feelings commander fine 'ye call 'em
doyle-0-10,trireme mediterranean ordered suddenly north run overland across gauls hurry put charge one craft legionaries wonderful lot handy men must used build apparently hundred month two may believe read
doyle-0-10,imagine end world sea colour lead sky colour smoke kind ship rigid concertina going river stores orders like
doyle-0-10,sand banks marshes forests savages precious little eat fit civilized man nothing thames water drink
doyle-0-10,falernian wine going ashore
doyle-0-10,military camp lost wilderness like needle bundle hay cold fog tempests disease exile death death skulking air water bush
doyle-0-10,must dying like flies
doyle-0-10,oh yes
doyle-0-10,well doubt without thinking much either except afterwards brag gone time perhaps
doyle-0-10,men enough face darkness
doyle-0-10,perhaps cheered keeping eye chance promotion fleet ravenna good friends rome survived awful climate
doyle-0-10,think decent young citizen toga perhaps much dice know coming train prefect tax gatherer trader even mend fortunes
doyle-0-10,land swamp march woods inland post feel savagery utter savagery closed round mysterious life wilderness stirs forest jungles hearts wild men
doyle-0-10,'s initiation either mysteries
doyle-0-10,live midst incomprehensible also detestable
doyle-0-10,fascination goes work upon
doyle-0-10,fascination abomination know imagine growing regrets longing escape powerless disgust surrender hate
doyle-0-11,paused
doyle-0-12,mind began lifting one arm elbow palm hand outwards legs folded pose buddha preaching european clothes without lotus flower mind none us would feel exactly like
doyle-0-12,saves us efficiency devotion efficiency
doyle-0-12,chaps much account really
doyle-0-12,colonists administration merely squeeze nothing suspect
doyle-0-12,conquerors want brute force nothing boast since strength accident arising weakness others
doyle-0-12,grabbed could get sake got
doyle-0-12,robbery violence aggravated murder great scale men going blind proper tackle darkness
doyle-0-12,conquest earth mostly means taking away different complexion slightly flatter noses pretty thing look much
doyle-0-12,redeems idea
doyle-0-12,idea back sentimental pretence idea unselfish belief idea something set bow offer sacrifice
doyle-0-13,broke
doyle-0-13,flames glided river small green flames red flames white flames pursuing overtaking joining crossing separating slowly hastily
doyle-0-13,traffic great city went deepening night upon sleepless river
doyle-0-13,looked waiting patiently nothing else till end flood long silence hesitating voice suppose fellows remember turn fresh water sailor bit knew fated ebb began run hear one marlow 's inconclusive experiences
doyle-0-14,n't want bother much happened personally began showing remark weakness many tellers tales seem often unaware audience would like best hear yet understand effect ought know got saw went river place first met poor chap
doyle-0-14,farthest point navigation culminating point experience
doyle-0-14,seemed somehow throw kind light everything thoughts
doyle-0-14,sombre enough pitiful extraordinary way clear either
doyle-0-14,clear
doyle-0-14,yet seemed throw kind light
doyle-0-15,remember returned london lot indian ocean pacific china seas regular dose east six years loafing hindering fellows work invading homes though got heavenly mission civilize
doyle-0-15,fine time bit get tired resting
